Type,Sub Type,Temperature,ID,Max Frequency,Mean Frequency,Centroid,Thermal Damage
Heated,Water,250,46644,1.763819095477387,13.5,7.350369980600744,0.35845176724529376
Heated,Water,250,46645,1.763819095477387,13.5,7.361348966391439,0.36184866357324064
Heated,Water,250,46646,1.763819095477387,13.5,7.387096648215779,0.36184866357324064
Heated,Water,250,46647,1.763819095477387,13.5,7.387174747503124,0.36184866357324064
Heated,Water,250,46648,1.763819095477387,13.5,7.3832005437769554,0.3668182007676597
Heated,Water,250,46649,1.763819095477387,13.5,7.374753206909315,0.36030263387940453
Heated,Water,250,46650,1.763819095477387,13.5,7.368685263200388,0.36184866357324064
Heated,Water,250,46651,1.763819095477387,13.5,7.359371240211622,0.36184866357324064
Heated,Water,250,46652,1.763819095477387,13.5,7.354089970407817,0.36184866357324064
Heated,Water,250,46653,1.763819095477387,13.5,7.353613476720165,0.36030263387940453
Heated,Water,250,46654,1.6281407035175879,13.5,6.471607221319242,0.5009785600077399
Heated,Water,250,46655,1.6281407035175879,13.5,6.473402894803093,0.5145451608873733
Heated,Water,250,46656,1.6281407035175879,13.5,6.45096662665733,0.0
Heated,Water,250,46657,1.6281407035175879,13.5,6.472697100823948,6.619694685660584
Heated,Water,250,46658,1.6281407035175879,13.5,6.5179758778992385,6.619694685660584
Heated,Water,250,46659,1.6281407035175879,13.5,6.489130244278755,1.3770766165097985
Heated,Water,250,46660,1.6281407035175879,13.5,6.4936120626630425,0.5038965214251792
Heated,Water,250,46661,1.6281407035175879,13.5,6.515562852310188,0.5064566883448582
Heated,Water,250,46662,1.6281407035175879,13.5,6.496795395159642,6.619694685660584
Heated,Water,250,46663,1.6281407035175879,13.5,6.517052363030985,1.902521501878793
Heated,Brine,500,46664,1.6281407035175879,13.5,7.197609555124771,0.29499484441297663
Heated,Brine,500,46665,1.6281407035175879,13.5,7.168363604591966,0.29499484441297663
Heated,Brine,500,46666,1.6281407035175879,13.5,7.130344039894756,0.29499484441297663
Heated,Brine,500,46667,1.6281407035175879,13.5,7.119251317170111,0.29499484441297663
